OTUID	Kingdom	Phylum	Class	Order	Family	Genus	species
ASV3	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV4	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV11	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV5	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV13	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Kosakonia	Kosakonia
ASV10	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV8	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Unidentified_Enterobacter
ASV2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Unidentified_Enterobacter
ASV9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	Unidentified_Pantoea
ASV6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_sp.
ASV15	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV19	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV22	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV12	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unidentified_Bacillus
ASV17	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Unidentified_Elizabethkingia
ASV21	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unidentified_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV25	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV20	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unidentified_Bacillus
ASV7	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	uncultured_Ralstonia_sp.
ASV23	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV16	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
ASV31	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV14	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV30	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Unidentified_Methylobacterium	Methylobacterium
ASV24	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV29	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unidentified_Staphylococcus
ASV32	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_licheniformis
ASV18	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Unidentified_Luteimonas
ASV34	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV36	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV35	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV37	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV42	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV40	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV44	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV43	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Kosakonia	Unidentified_Kosakonia
ASV28	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Promicromonospora	Unidentified_Promicromonospora
ASV38	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unidentified_Bacillus
ASV45	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV47	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Unidentified_Methylobacterium
ASV51	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV39	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Bordetella	Unidentified_Bordetella
ASV50	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unidentified_Sphingomonas
ASV52	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV33	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unidentified_Pseudoxanthomonas
ASV53	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV54	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	Unidentified_Massilia
ASV57	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
ASV58	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Unidentified_Serratia
ASV59	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV49	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Ambiguous_taxa
ASV56	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unidentified_Bacillus
ASV55	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	uncultured_bacterium
ASV60	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Unidentified_Sphingobacterium
ASV48	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unidentified_Pseudoxanthomonas
ASV62	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV61	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV67	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV46	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Unidentified_Cellulosimicrobium
ASV66	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	Unidentified_Massilia
ASV65	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV69	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unidentified_Saccharopolyspora
ASV70	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_barengoltzii
ASV73	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV64	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV74	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV75	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unidentified_Enterococcus
ASV77	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unidentified_Bacillus
ASV76	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcales_Incertae_Sedis	Timonella	uncultured_bacterium
ASV72	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV79	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV41	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unidentified_Streptomyces
ASV26	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unidentified_Streptomyces
ASV84	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unidentified_Acinetobacter
ASV82	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	Unidentified_Thermobifida
ASV80	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Unidentified_Luteimonas
ASV86	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV87	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV88	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces	Unidentified_Glycomyces
ASV89	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	uncultured_bacterium
ASV91	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV90	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV68	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unidentified_Streptomyces
ASV83	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Unidentified_Nocardiopsis
ASV63	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV78	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV96	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unidentified_Devosia
ASV93	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Uncultured	Uncultured_bacterium
ASV94	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV100	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV99	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Unidentified_ChloroplastChryseobacterium
ASV95	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Unidentified_ChloroplastNocardiopsis
ASV101	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
ASV92	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	UnidentifiedPaenibacillus
ASV103	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	UnidentifiedAcinetobacter
ASV105	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
ASV98	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_sp.
ASV104	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Unidentified_Halomonas
ASV85	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	Unidentified_Saccharomonospora
ASV110	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus	Unidentified_Chelatococcus
ASV107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium_5	Unidentified_Lachnoclostridium_6
ASV106	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unidentified_Staphylococcus
ASV108	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	Unidentified_Burkholderiaceae
ASV111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Pelagibacterium	Unidentified_Pelagibacterium
ASV112	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Unidentified_Actinomadura
ASV113	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Achromobacter	Unidentified_Achromobacter
ASV97	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Ambiguous_taxa
ASV115	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unidentified_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV114	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum	Unidentified_Proteiniphilum
ASV81	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV116	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV120	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_baumannii
ASV71	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV124	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Unidentified_Actinomadura
ASV121	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Unidentified_Actinomadura
ASV126	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Pelagibacterium	Unidentified_Pelagibacterium
ASV123	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unidentified_Bacillus
ASV109	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus_borstelensis
ASV129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	Unidentified_Shinella
ASV122	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV132	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV131	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV128	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	Unidentified_Burkholderiaceae
ASV134	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Unidentified_Sphingobacterium
ASV125	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Ambiguous_taxa
ASV130	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Bordetella	Unidentified_Bordetella
ASV136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	Unidentified_Ochrobactrum
ASV137	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Ambiguous_taxa
ASV135	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV133	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV142	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	Unidentified_Burkholderiaceae
ASV138	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parapusillimonas	uncultured_bacterium
ASV119	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unidentified_Streptomyces
ASV117	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Unidentified_Cellulosimicrobium
ASV145	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV148	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV143	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	Unidentified_Burkholderiaceae
ASV146	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unidentified_Lachnospiraceae	Unidentified_Lachnospiraceae
ASV144	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV149	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV139	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Unidentified_Cellulomonas
ASV152	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	uncultured_bacterium
ASV154	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	uncultured_bacterium
ASV141	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Unidentified_Nocardiopsis
ASV150	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Aquabacterium	Unidentified_Aquabacterium
ASV118	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unidentified_Streptomyces
ASV155	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Achromobacter	Achromobacter_xylosoxidans_subsp._xylosoxidans
ASV159	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cronobacter	Unidentified_Cronobacter
ASV156	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unidentified_Stenotrophomonas
ASV158	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Unidentified_Methylobacterium
ASV161	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unidentified_Lactobacillus
ASV162	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Unidentified_Halomonas
ASV164	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	Unidentified_Ochrobactrum
ASV160	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unidentified_Stenotrophomonas
ASV165	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV163	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV166	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	Unidentified_Shinella
ASV153	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Unidentified_Acetobacter
ASV171	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV167	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	Unidentified_Ralstonia
ASV140	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unidentified_Streptomyces
ASV170	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unidentified_Sphingomonas
ASV168	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Unidentified_Burkholderia-Caballeronia-Paraburkholderia
ASV157	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
ASV173	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	Unidentified_Burkholderiaceae
ASV176	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV169	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV102	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unidentified_Saccharopolyspora
ASV180	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Ambiguous_taxa
ASV179	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV178	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ramlibacter	uncultured_bacterium
ASV177	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	Unidentified_Thermobifida
ASV172	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unidentified_Pseudoxanthomonas
ASV147	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unidentified_Streptomyces
ASV185	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Unidentified_Luteimonas
ASV186	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
ASV184	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	Unidentified_Burkholderiaceae
ASV187	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unidentified_Xanthobacteraceae	Unidentified_Xanthobacteraceae
ASV175	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unidentified_Streptomyces
ASV181	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Kosakonia	Unidentified_Kosakonia
ASV193	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV189	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Unidentified_Chryseobacterium
ASV192	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
ASV182	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Unidentified_Curtobacterium
ASV151	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	uncultured	uncultured
ASV197	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	uncultured_bacterium
ASV191	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Unidentified_Cellulomonas
ASV188	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	Unidentified_Prevotella_10
ASV200	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	Unidentified_Thermobacillus
ASV198	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unidentified_Saccharopolyspora
ASV199	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unidentified_Staphylococcus
ASV203	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Unidentified_Sphingobacterium
ASV204	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast
ASV205	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Unidentified_Sphingobacterium
